class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5,log_mass,log_BMR,inv_kT
Amphibia,Caudata,Ambystomatidae,Ambystoma,laterale,4.0,0.004,0.0101111111111111,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Ambystoma laterale,-5161.7596141252125,3001.388430857802,9.634434675552006,-0.8060288767381045,-0.0021049370118414,-5.521460917862246,-4.594120349801507,39.45254776761606
Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,2.0,0.002,0.0016111111111111,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Ambystoma macrodactylum,-5161.7596141252125,3001.388430857802,9.634434675552006,-0.8060288767381045,-0.0021049370118414,-6.214608098422191,-6.430831206891835,40.274047981413375
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,25.0,0.025,0.1852222222222222,W,26.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Anaxyrus boreas,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.6888794541139363,-1.6861989735675624,38.79313697424123
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,47.0,0.047,0.1737222222222222,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Anaxyrus boreas,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.0576076772720784,-1.7502976794204606,39.5871292029482
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,58.0,0.058,0.2437222222222222,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Anaxyrus boreas,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-2.8473122684357177,-1.4117261357120878,39.5871292029482
Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,10.0,0.01,0.109,W,26.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Anaxyrus retiformis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.605170185988091,-2.2164073967529934,38.79313697424123
Amphibia,Caudata,Plethodontidae,Batrachoseps,attenuatus,1.0,0.001,0.0027222222222222,W,23.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Batrachoseps attenuatus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-6.907755278982137,-5.906306738767683,39.18611151728605
Amphibia,Caudata,Plethodontidae,Bolitoglossa,occidentalis,1.0,0.001,0.0006111111111111,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Bolitoglossa occidentalis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-6.907755278982137,-7.400231764079949,40.274047981413375
Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,28.0,0.028,0.012,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Desmognathus quadramaculatus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.575550768806933,-4.422848629194137,39.45254776761606
Amphibia,Anura,Alytidae,Discoglossus,pictus,31.0,0.031,0.0453888888888888,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Discoglossus pictus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.473768074496991,-3.092487942018301,39.5871292029482
